BIB_ID	VENDOR_CODE	bibtype	date	form	place	language	govdoc	publisher	fund	poofid
10261945	AUX/E	am	2017	b	fr\	fre	\	Gallimard ;$aCologny (Genève, Suisse) :$bFondation Martin Bodmer	592	12302
10261949	AUX/E	am	2017	b	fr\	fre	\	Hermann	592	12301
10249918	AUX/E	am	2016	b	be\	eng	\	La Marque Postale	p2992	12123
10249920	AUX/E	am	2018	b	fr\	fre	\	La Découverte	p8352	12119
10249923	AUX/E	am	2017	b	fr\	fre	\	Aedam Musicae	7110	12146
10246326	AUX/E	am	2017	\	fr\	fre	\	Odile Jacob	2115	11858
10245060	AUX/E	am	2016	b	fr\	fre	\	L'Harmattan	2115	11818
10242859	AUX/E	am	2017	b	fr\	fre	\	Presses universitaires de Nancy	p2553	11766
10232678	AUX/E	am	2017	b	be\	eng	\	Peeters	p3150	11563
9762340	AUX/E	am	1989	b	fr\	fre	\	Slatkine Érudition;\\$3v. 1-2$aMontmorency :$bMusée Jean-Jacques Rousseau	p3525	2229
10208085	AUX/E	am	2013	\	quc	fre	\	Bibliothèque Québécoise	p2654	11069
10208103	AUX/E	am	2017	b	quc	fre	\	Septentrion	p2654	11024
10208105	AUX/E	am	2015	6	quc	fre	\	Pow Pow	p2654	11022
10208108	AUX/E	am	2017	6	quc	fre	\	Les Éditions de la Pastèque	p2654	11021
10208110	AUX/E	am	2017	\	quc	fre	\	Éditions Pow Pow	p2654	11020
10208088	AUX/E	am	2012	b	quc	fre	\	Septentrion	p2654	11046
10208072	AUX/E	am	2015	\	quc	fre	\	Marchand de feuilles	p2654	11078
10208077	AUX/E	am	2008	\	quc	fre	\	Le Quartanier	p2654	11076
10208079	AUX/E	am	2011	\	quc	fre	\	XYZ éditeur	p2654	11071
10208071	AUX/E	am	2017	b	fr\	fre	\	Biblieurope	p2255	11043
10208075	AUX/E	am	2017	b	fr\	fre	\	Institut Rabbi Yécha'ya-Éditions Bakish	p2255	11041
10208078	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan	p2256	11038
10208080	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan	p2256	11037
10208084	AUX/E	am	2017	\	fr\	fre	\	L'Harmattan	p2256	11036
10207145	AUX/E	am	2017	\	fr\	fre	\	L'Antilope	p2255	10976
10207149	AUX/E	am	2017	b	fr\	fre	\	Bayard	p2255	10975
10207154	AUX/E	am	2017	b	fr\	fre	\	Presses Universitaires de Provence	p2255	10973
10207155	AUX/E	am	2017	b	fr\	fre	\	ID l'édition	p2255	10972
10207157	AUX/E	am	2017	b	fr\	fre	\	Auteurs du Monde	p2255	10971
10207158	AUX/E	am	2017	\	fr\	fre	\	Libertalia	p2255	10970
10207160	AUX/E	am	2016	b	fr\	fre	\	L'Artilleur	p2255	10969
10207163	AUX/E	am	2017	b	fr\	fre	\	Presses universitaires François-Rabelais	p2255	10968
10207165	AUX/E	am	2017	b	fr\	fre	\	Créaphis éditions	p2255	10967
10206655	AUX/E	am	2017	\	fr\	fre	\	Swan éditeur ;$bDomaine de Chantilly	590	10866
10353952	BACH	am	2017	b	bl\	por	\	EDUFBA	7110	14048
10261946	BACH	am	2000	\	bl\	por	\	Humanitas/FFLCH	592	12295
10407873	AMAZON	am	2013	b	no\	eng	\	Akademika Publishing	p8350	15442
9597450	AMAZON	am	2015	b	ilu	eng	\	Human Kinetics	591	$zPOOF;poof.library.cornell.edu/node/48505
9597450	AMAZON	am	2015	b	ilu	eng	\	Human Kinetics	591	$zPOOF;poof.library.cornell.edu/node/48505
10407152	AMAZON	gm	2004	\	sp\	spa	\	Cameo Media	p7358	15418
10407154	AMAZON	am	2014	b	at\	eng	\	Wadsworth	p7358	15417
9256646	AMAZON	am	2016	b	cau	eng	\	University of California Press	1340	15423
9256646	AMAZON	am	2016	b	cau	eng	\	University of California Press	1340	15423
9256646	AMAZON	am	2016	b	cau	eng	\	University of California Press	1340	15423
10406685	AMAZON	am	2017	b	enk	eng	\	Edinburgh University Press	2115	15422
10406687	AMAZON	am	2017	b	nju	eng	\	Princeton University Press	p2858	15420
10406637	AMAZON	am	2005	b	cau	eng	\	Read Books	1010	15409
10361350	AMAZON	am	2018	\	ii\	eng	\	Mapin Publishing ;$aMumbai, India :$bThe HECAR Foundation	2010	14557
10405622	AMAZON	am	2006	b	mau	eng	\	Thomson Course Technology PTR	p6756	15405
10405638	AMAZON	am	2017	b	cau	eng	\	SAGE Publications, Inc.	p6550	15398
10405916	AMAZON	am	2009	b	pr\	spa	\	Ediciones Callejón	p2967	15406
10404605	AMAZON	gm	2005	\	miu	eng	\	Distributed by Anchor Bay Entertainment	p7358	15377
10404602	AMAZON	gm	2014	\	cau	eng	\	Paramount Pictures	p7358	15379
10404603	AMAZON	gm	2006	\	cau	eng	\	DreamWorks Home Entertainment	p7358	15378
10404613	AMAZON	gm	2007	\	cau	eng	\	New Line Home Entertainment	p7358	15376
10404616	AMAZON	gm	2002	\	it\	ita	\	Hardy Classic Video	p7358	15374
10404591	AMAZON	am	2018	b	nyu	eng	\	Russell Sage Foundation	p2858	15381
10404250	AMAZON	am	2017	b	enk	eng	\	Routledge, Taylor & Francis Group	546	15368
9864311	AMAZON	am	2017	b	mau	eng	\	The MIT Press	p7358	15360
9864311	AMAZON	am	2017	b	mau	eng	\	The MIT Press	p7358	15360
10393627	AMAZON	am	2014	b	nyu	eng	\	McGraw-Hill/Irwin	p7358	15359
10393629	AMAZON	gm	2004	\	ilu	fre	\	Home Vision Entertainment	p7358	15358
10397231	AMAZON	am	2018	b	nyu	eng	\	Callisto Reference	1010	15365
10393548	AMAZON	am	2018	b	ne\	eng	\	Brill	p2753	15362
10393549	AMAZON	am	2015	b	nyu	eng	\	The Metropolitan Museum of Art	p2753	15361
10388544	AMAZON	am	2016	\	vau	eng	\	Just World Books	p559	15318
10388545	AMAZON	am	2013	b	enk	eng	\	Palgrave Macmillan	4310	15317
10388546	AMAZON	am	2013	b	inu	eng	\	AuthorHouse	p2952	15316
9929486	AMAZON	am	2007	b	sp\	eng	\	Actar D	p6793	6888
10387890	AMAZON	am	2018	b	cau	eng	\	Stanford University Press	521	15289
10387922	AMAZON	gm	2014	\	sp\	spa	\	Tormenta Films	NA	NA
10387931	AMAZON	am	1992	\	nju	eng	\	Prentice Hall	p6694	15303
10387919	AMAZON	gm	2018	\	sp\	spa	\	Sony Pictures	NA	NA
10387931	AMAZON	am	1992	\	nju	eng	\	Prentice Hall	p6694	15303
10387856	AMAZON	am	2017	b	enk	eng	\	Routledge	p3350	15282
10387726	AMAZON	am	1990	b	oru	eng	\	D. Spencer Publishers	p6694	15304
10387726	AMAZON	am	1990	b	oru	eng	\	D. Spencer Publishers	p6694	15304
10387729	AMAZON	am	2014	b	mau	eng	\	Wadsworth, Cengage Learning	p6694	15302
10387729	AMAZON	am	2014	b	mau	eng	\	Wadsworth, Cengage Learning	p6694	15302
10387627	AMAZON	am	2016	\	gw\	eng	\	Hempen Verlag	p3350	15284
10387629	AMAZON	am	2017	b	ne\	eng	\	Brill	p3350	15281
9133189	AMAZON	am	2015	b	fr\	fre	\	Presses universitaires de France	p2851	$zPOOF;poof.library.cornell.edu/node/36940
10385806	AMAZON	am	2014	b	enk	eng	\	Legenda, Modern Humanities Research Association and Maney Publishing	p2156	15176
10385417	AMAZON	am	2007	b	nju	eng	\	J. Wiley	p6694	15226
10386163	AMAZON	am	2018	b	nyu	eng	\	Russell Sage Foundation	p4555	15275
10386162	AMAZON	am	2017	b	onc	eng	\	University of Toronto Press	p1351	15278
10386163	AMAZON	am	2018	b	nyu	eng	\	Russell Sage Foundation	p4555	15275
10385201	AMAZON	am	2017	b	scu	eng	\	[Createspace]	8110	15200
10385140	AMAZON	am	2018	\	xxu	eng	\	Drawn & Quarterly	p7354	15201
10385122	AMAZON	am	2018	b	nyu	eng	\	St. Martin's Press	p2952	15228
10385126	AMAZON	am	2018	b	nyu	eng	\	Picador	p7291	15225
10385138	AMAZON	am	2018	b	nyu	eng	\	Race Point Publishing	p7057	15214
10384510	AMAZON	am	2015	\	onc	eng	\	Harper Avenue	2110	$zPOOF;poof.library.cornell.edu/node/39661
10315449	AMAZON	am	2002	\	ja\	jpn	\	Bungeisha	8612	12937
10383350	AMAZON	am	1989	b	nyu	eng	\	T.Y. Crowell	p7354	15151
10377653	AMAZON	am	2015	\	nyu	eng	\	Metropolitan Books, Henry Holt and Company	p2251	14874
10383347	AMAZON	am	2015	b	nju	eng	\	Africa World Press	p2952	15155
10383256	AMAZON	am	2017	\	ilu	eng	\	National Restaurant Association Educational Foundation	7540	15125
10383256	AMAZON	am	2017	\	ilu	eng	\	National Restaurant Association Educational Foundation	7540	15125
10383256	AMAZON	am	2017	\	ilu	eng	\	National Restaurant Association Educational Foundation	7540	15125
10383258	AMAZON	am	2017	\	ilu	eng	\	Northwestern University Press	p7358	15078
5420777	AMAZON	am	2004	b	nyu	eng	\	Scribner	7540	15126
5420777	AMAZON	am	2004	b	nyu	eng	\	Scribner	7540	15126
10382088	AMAZON	am	2018	b	nyu	eng	\	Pearson	1340	8257
5420777	AMAZON	am	2004	b	nyu	eng	\	Scribner	7540	15126
10382107	AMAZON	am	2018	b	nju	eng	\	John Wiley & Sons, Inc.	p7350	15054
